,W##other##,A##area##millimeters,d##length##millimeters,tw##length##millimeters,bf##length##millimeters,tf##length##millimeters,k##length##millimeters
IPE80,.0588399,764,80,3.8,46,5.2,10.2
IPE100,.0793357985,1032,100,4.1,55,5.7,12.7
IPE120,.101596894,1321,120,4.4,64,6.3,13.3
IPE140,.1262115855,1643,140,4.7,73,6.9,13.9
IPE160,.154748937,2009,160,5,82,7.4,16.4
IPE180,.183972754,2395,180,5.3,91,8,17
IPE200,.2193747605,2848,200,5.6,100,8.5,20.5
IPE220,.257130363,3337,220,5.9,110,9.2,21.2
IPE240,.3009660885,3912,240,6.2,120,9.8,24.8
IPE270,.3533335995,4594,270,6.6,135,10.2,25.2
IPE300,.4141348295,5381,300,7.1,150,10.7,25.7
IPE330,.481898781,6261,330,7.5,160,11.5,29.5
IPE360,.5596655155,7273,360,8,170,12.7,30.7
IPE400,.6504750945,8446,400,8.6,180,13.5,34.5
IPE450,.760603774,9882,450,9.4,190,14.6,35.6
IPE500,.892993549,11550,500,10.2,200,16,37
IPE550,1.0315615135,13440,550,11.1,210,17.2,41.2
IPE600,1.200922359,15600,600,12,220,19,43
