,Shape##other##,W##other##,A##area##millimeters,Ht##length##millimeters,b##length##millimeters,t##length##millimeters
CFRR50x30x2,Rectangular,.0226533615,294,50,30,2
CFRR50x30x2.5,Rectangular,.027654753,359,50,30,2.5
CFRR50x30x3,Rectangular,.032361945,421,50,30,3
CFRR50x30x4,Rectangular,.04118793,535,50,30,4
CFRR60x40x2,Rectangular,.0287334845,374,60,40,2
CFRR60x40x2.5,Rectangular,.03530394,459,60,40,2.5
CFRR60x40x3,Rectangular,.041580196,541,60,40,3
CFRR60x40x4,Rectangular,.0534462425,695,60,40,4
CFRR60x40x5,Rectangular,.064331624,836,60,40,5
CFRR70x50x2,Rectangular,.034911674,454,70,50,2
CFRR70x50x2.5,Rectangular,.0430511935,559,70,50,2.5
CFRR70x50x3,Rectangular,.0508965135,661,70,50,3
CFRR80x40x2.5,Rectangular,.0430511935,559,80,40,2.5
CFRR80x40x3,Rectangular,.0508965135,661,80,40,3
CFRR80x40x4,Rectangular,.0658026215,855,80,40,4
CFRR80x40x5,Rectangular,.080022264,1040,80,40,5
CFRR80x60x2,Rectangular,.0410898635,534,80,60,2
CFRR80x60x2.5,Rectangular,.0507003805,659,80,60,2.5
CFRR80x60x3,Rectangular,.0601147645,781,80,60,3
CFRR80x60x4,Rectangular,.078060934,1015,80,60,4
CFRR90x50x2.5,Rectangular,.0507003805,659,90,50,2.5
CFRR90x50x3,Rectangular,.0601147645,781,90,50,3
CFRR90x50x4,Rectangular,.078060934,1015,90,50,4
CFRR90x50x5,Rectangular,.095124505,1236,90,50,5
CFRR100x40x2.5,Rectangular,.0507003805,659,100,40,2.5
CFRR100x40x4,Rectangular,.078060934,1015,100,40,4
CFRR100x50x2.5,Rectangular,.054524974,709,100,50,2.5
CFRR100x50x3,Rectangular,.06472389,841,100,50,3
CFRR100x50x4,Rectangular,.0842391235,1095,100,50,4
CFRR100x50x5,Rectangular,.102773692,1336,100,50,5
CFRR100x50x6.3,Rectangular,.1226811915,1595,100,50,6.3
CFRR100x60x2,Rectangular,.047268053,614,100,60,2
CFRR100x60x2.5,Rectangular,.0583495675,759,100,60,2.5
CFRR100x60x3,Rectangular,.0693330155,901,100,60,3
CFRR100x60x4,Rectangular,.090417313,1175,100,60,4
CFRR100x60x5,Rectangular,.1105209455,1436,100,60,5
CFRR100x60x6.3,Rectangular,.132389775,1721,100,60,6.3
CFRR100x80x3,Rectangular,.0785512665,1021,100,80,3
CFRR100x80x4,Rectangular,.1026756255,1335,100,80,4
CFRR100x80x5,Rectangular,.1258193195,1636,100,80,5
CFRR100x80x6,Rectangular,.1479823485,1923,100,80,6
CFRR120x60x3,Rectangular,.0785512665,1021,120,60,3
CFRR120x60x4,Rectangular,.1026756255,1335,120,60,4
CFRR120x60x5,Rectangular,.1258193195,1636,120,60,5
CFRR120x60x6.3,Rectangular,.151806942,1973,120,60,6.3
CFRR120x80x3,Rectangular,.0877695175,1141,120,80,3
CFRR120x80x4,Rectangular,.1150320045,1495,120,80,4
CFRR120x80x5,Rectangular,.14121576,1836,120,80,5
CFRR120x80x6,Rectangular,.1664188505,2163,120,80,6
CFRR120x80x6.3,Rectangular,.171224109,2225,120,80,6.3
CFRR120x80x8,Rectangular,.2095681105,2724,120,80,8
CFRR140x70x4,Rectangular,.121210194,1575,140,70,4
CFRR140x70x5,Rectangular,.1489630135,1936,140,70,5
CFRR140x80x3,Rectangular,.0969877685,1261,140,80,3
CFRR140x80x4,Rectangular,.127290317,1655,140,80,4
CFRR140x80x5,Rectangular,.1566122005,2036,140,80,5
CFRR140x80x6,Rectangular,.1848553525,2403,140,80,6
CFRR140x80x6.3,Rectangular,.1905432095,2477,140,80,6.3
CFRR150x100x3,Rectangular,.110815145,1441,150,100,3
CFRR150x100x4,Rectangular,.1458248855,1895,150,100,4
CFRR150x100x5,Rectangular,.1797558945,2336,150,100,5
CFRR150x100x6,Rectangular,.212608172,2763,150,100,6
CFRR150x100x6.3,Rectangular,.21966896,2855,150,100,6.3
CFRR150x100x8,Rectangular,.2711538725,3524,150,100,8
CFRR150x100x10,Rectangular,.32754211,4257,150,100,10
CFRR160x80x4,Rectangular,.139646696,1815,160,80,4
CFRR160x80x5,Rectangular,.172008641,2236,160,80,5
CFRR160x80x6,Rectangular,.2032918545,2643,160,80,6
CFRR160x80x6.3,Rectangular,.2099603765,2729,160,80,6.3
CFRR160x80x8,Rectangular,.2587974935,3364,160,80,8
CFRR160x90x7.1,Rectangular,.2442836515,3175,160,90,7.1
CFRR180x100x5,Rectangular,.202801522,2636,180,100,5
CFRR180x100x6,Rectangular,.240262925,3123,180,100,6
CFRR180x100x6.3,Rectangular,.248696644,3233,180,100,6.3
CFRR180x100x7.1,Rectangular,.2770378625,3601,180,100,7.1
CFRR180x100x8,Rectangular,.3080268765,4004,180,100,8
CFRR180x100x10,Rectangular,.373633365,4857,180,100,10
CFRR200x80x6,Rectangular,.240262925,3123,200,80,6
CFRR200x100x5,Rectangular,.2181979625,2836,200,100,5
CFRR200x100x6,Rectangular,.258699427,3363,200,100,6
CFRR200x100x6.3,Rectangular,.268113811,3485,200,100,6.3
CFRR200x100x8,Rectangular,.332641568,4324,200,100,8
CFRR200x100x10,Rectangular,.404426246,5257,200,100,10
CFRR200x120x5,Rectangular,.233594403,3036,200,120,5
CFRR200x120x6,Rectangular,.2772339955,3603,200,120,6
CFRR200x120x6.3,Rectangular,.287530978,3737,200,120,6.3
CFRR200x120x8,Rectangular,.3572562595,4644,200,120,8
CFRR200x120x10,Rectangular,.435219127,5657,200,120,10
CFRR220x120x6,Rectangular,.2956704975,3843,220,120,6
CFRR220x120x8,Rectangular,.381870951,4964,220,120,8
CFRR220x120x10,Rectangular,.466012008,6057,220,120,10
CFRR250x150x5,Rectangular,.2950820985,3836,250,150,5
CFRR250x150x6,Rectangular,.35107807,4563,250,150,6
CFRR250x150x6.3,Rectangular,.365003513,4745,250,150,6.3
CFRR250x150x8,Rectangular,.4557150255,5924,250,150,8
CFRR250x150x10,Rectangular,.5582925845,7257,250,150,10
CFRR250x150x12.5,Rectangular,.669598062,8704,250,150,12.5
CFRR260x140x6,Rectangular,.35107807,4563,260,140,6
CFRR260x140x8,Rectangular,.4557150255,5924,260,140,8
CFRR260x140x10,Rectangular,.5582925845,7257,260,140,10
CFRR260x180x6,Rectangular,.387951074,5043,260,180,6
CFRR260x180x8,Rectangular,.5049444085,6564,260,180,8
CFRR260x180x10,Rectangular,.6198783465,8057,260,180,10
CFRR300x100x5,Rectangular,.2950820985,3836,300,100,5
CFRR300x100x6,Rectangular,.35107807,4563,300,100,6
CFRR300x100x8,Rectangular,.4557150255,5924,300,100,8
CFRR300x200x6,Rectangular,.4433586465,5763,300,200,6
CFRR300x200x6.3,Rectangular,.4619912815,6005,300,200,6.3
CFRR300x200x8,Rectangular,.5788865495,7524,300,200,8
CFRR300x200x10,Rectangular,.712158923,9257,300,200,10
CFRR300x200x12.5,Rectangular,.862004535,11204,300,200,12.5
