,W##other##,A##area##millimeters,Diameter##length##millimeters,t##length##millimeters
KR20x2,.0087279185,113,20,2
KR20x2.3,.00980665,128,20,2.3
KR20x2.6,.0108853815,142,20,2.6
KR20x2.9,.011964113,156,20,2.9
KR20x3.2,.0130428445,169,20,3.2
KR20x3.6,.0142196425,185,20,3.6
KR20x4,.015494507,201,20,4
KR20x4.5,.0167693715,219,20,4.5
KR20x5,.0181423025,236,20,5
KR25x2,.0110815145,145,25,2
KR25x2.3,.0126505785,164,25,2.3
KR25x2.6,.014121576,183,25,2.6
KR25x2.9,.015494507,201,25,2.9
KR25x3.2,.016867438,219,25,3.2
KR25x3.6,.018632635,242,25,3.6
KR25x4,.0202997655,264,25,4
KR25x4.5,.022359162,290,25,4.5
KR25x5,.0242224255,314,25,5
KR25x5.6,.026281822,341,25,5.6
KR25x6.3,.0285373515,370,25,6.3
KR30x2.6,.017259704,224,30,2.6
KR30x2.9,.019024901,247,30,2.9
KR30x3.2,.0206920315,269,30,3.2
KR30x3.6,.0230456275,299,30,3.6
KR30x4,.0252030905,327,30,4
KR30x4.5,.0277528195,360,30,4.5
KR30x5,.030204482,393,30,5
KR30x5.6,.0330484105,429,30,5.6
KR30x6.3,.036284605,469,30,6.3
KR30x7.1,.0395207995,511,30,7.1
KR30x8,.042560861,553,30,8
KR38x2.6,.0224572285,289,38,2.6
KR38x2.9,.0246146915,320,38,2.9
KR38x3.2,.0269682875,350,38,3.2
KR38x3.6,.0299102825,389,38,3.6
KR38x4,.0328522775,427,38,4
KR38x4.5,.036480738,474,38,4.5
KR38x5,.0399130655,518,38,5
KR38x5.6,.0438357255,570,38,5.6
KR38x6.3,.0485429175,627,38,6.3
KR38x7.1,.0532501095,689,38,7.1
KR38x8,.0579573015,754,38,8
KR38x8.8,.0620760945,807,38,8.8
KR38x10,.0677639515,880,38,10
KR51x2.6,.030596748,395,51,2.6
KR51x2.9,.033734876,438,51,2.9
KR51x3.2,.037069137,481,51,3.2
KR51x3.6,.0412859965,536,51,3.6
KR51x4,.045502856,591,51,4
KR51x4.5,.050602314,657,51,4.5
KR51x5,.055701772,723,51,5
KR51x5.6,.0614876955,799,51,5.6
KR51x6.3,.0681562175,885,51,6.3
KR51x7.1,.0754131385,972,51,7.1
KR51x8,.0826700595,1080,51,8
KR51x8.8,.089240515,1170,51,8.8
KR51x10,.099047165,1290,51,10
KR51x11,.106892485,1380,51,11
KR51x12.5,.116699135,1510,51,12.5
KR51x14.2,.126505785,1640,51,14.2
KR60.3x2.9,.040599531,523,60.3,2.9
KR60.3x3.2,.0442279915,574,60.3,3.2
KR60.3x3.6,.0493274495,641,60.3,3.6
KR60.3x4,.0544269075,707,60.3,4
KR60.3x4.5,.0607031635,789,60.3,4.5
KR60.3x5,.066881353,869,60.3,5
KR60.3x5.6,.0740402075,962,60.3,5.6
KR60.3x6.3,.08237586,1070,60.3,6.3
KR60.3x7.1,.091594111,1190,60.3,7.1
KR60.3x8,.100812362,1310,60.3,8
KR60.3x8.8,.1093441475,1420,60.3,8.8
KR60.3x10,.12160246,1580,60.3,10
KR60.3x11,.13140911,1700,60.3,11
KR60.3x12.5,.14513842,1880,60.3,12.5
KR60.3x14.2,.15886773,2060,60.3,14.2
KR60.3x16,.17063571,2230,60.3,16
KR70x2.9,.0473661195,611,70,2.9
KR70x3.2,.051779112,672,70,3.2
KR70x3.6,.057859235,751,70,3.6
KR70x4,.0638412915,829,70,4
KR70x4.5,.0712943455,926,70,4.5
KR70x5,.0785512665,1020,70,5
KR70x5.6,.0869849855,1130,70,5.6
KR70x6.3,.0969877685,1260,70,6.3
KR70x7.1,.1077750835,1400,70,7.1
KR70x8,.1201314625,1560,70,8
KR70x8.8,.1301342455,1690,70,8.8
KR70x10,.144746154,1880,70,10
KR70x11,.1569064,2040,70,11
KR70x12.5,.17455837,2260,70,12.5
KR70x14.2,.19221034,2490,70,14.2
KR70x16,.20790098,2710,70,16
KR70x17.5,.22163029,2890,70,17.5
KR82.5x3.2,.0618799615,797,82.5,3.2
KR82.5x3.6,.069234949,892,82.5,3.6
KR82.5x4,.07649187,986,82.5,4
KR82.5x4.5,.0846313895,1100,82.5,4.5
KR82.5x5,.093751574,1220,82.5,5
KR82.5x5.6,.10395049,1350,82.5,5.6
KR82.5x6.3,.116699135,1510,82.5,6.3
