,W##other##,A##area##millimeters,d##length##millimeters,tw##length##millimeters,bf##length##millimeters,tf##length##millimeters,k##length##millimeters
HE100A,.163479797495,2124,96,5,100,8,20
HE120A,.19504250052,2534,114,5,120,8,20
HE140A,.24184767964,3142,133,5.5,140,8.5,20.5
HE160A,.29847127674,3877,152,6,160,9,24
HE180A,.34835574396,4525,171,6,180,9.5,24.5
HE200A,.414404512375,5383,190,6.5,200,10,28
HE220A,.495313297535,6434,210,7,220,11,29
HE240A,.591496920735,7684,230,7.5,240,12,33
HE260A,.668355559445,8682,250,7.5,260,12.5,36.5
HE280A,.74876322479,9726,270,8,280,13,37
HE300A,.866263563095,11250,290,8.5,300,14,41
HE320A,.957410490855,12440,310,9,300,15.5,42.5
HE340A,1.0275015604,13350,330,9.5,300,16.5,43.5
HE360A,1.09898223225,14280,350,10,300,17.5,44.5
HE400A,1.2238503067,15900,390,11,300,19,46
HE450A,1.3704989508,17800,440,11.5,300,21,48
HE500A,1.52068779555,19750,490,12,300,23,50
HE550A,1.6301594295,21180,540,12.5,300,24,51
HE600A,1.74331836385,22650,590,13,300,25,52
HE650A,1.8601842119,24160,640,13.5,300,26,53
HE700A,2.00521475875,26050,690,14.5,300,27,54
HE800A,2.20034748045,28580,790,15,300,28,58
HE900A,2.46748062645,32050,890,16,300,30,60
HE1000A,2.6700958221,34680,990,16.5,300,31,61
HE100B,.2001537265,2604,100,6,100,10,22
HE120B,.2617394885,3401,120,6.5,120,11,23
HE140B,.331072504,4296,140,7,140,12,24
HE160B,.4180574895,5425,160,8,160,13,28
HE180B,.502688879,6525,180,8.5,180,14,29
HE200B,.6012457115,7808,200,9,200,15,33
HE220B,.700587076,9104,220,9.5,220,16,34
HE240B,.8160113465,10600,240,10,240,17,38
HE260B,.9083899895,11840,260,10,260,17.5,41.5
HE280B,1.008515886,13140,280,10.5,280,18,42
HE300B,1.146985784,14910,300,11,300,19,46
HE320B,1.239364427,16130,320,11.5,300,20.5,47.5
HE340B,1.316444696,17090,340,12,300,21.5,48.5
HE360B,1.393328832,18060,360,12.5,300,22.5,49.5
HE400B,1.5242476095,19780,400,13.5,300,24,51
HE450B,1.6782120145,21800,450,14,300,26,53
HE500B,1.839923673,23860,500,14.5,300,28,55
HE550B,1.9553479435,25410,550,15,300,29,56
HE600B,2.0785194675,27000,600,15.5,300,30,57
HE650B,2.2016909915,28630,650,16,300,31,58
HE700B,2.3556553965,30640,700,17,300,32,59
HE800B,2.5712055635,33420,800,17.5,300,33,63
HE900B,2.856088746,37130,900,18.5,300,35,65
HE1000B,3.0792881,40000,1000,19,300,36,66
HE100M,.409822845495,5323.61,120,12,106,20,32
HE120M,.51120889652,6640.61,140,12.5,126,21,33
HE140M,.620138222725,8055.61,160,13,146,22,34
HE160M,.74712355291,9705.14,180,14,166,23,38
HE180M,.87183472096,11325.1,200,14.5,186,24,39
HE200M,1.0106341224,13128.1,220,15,206,25,43
HE220M,1.15042791815,14944.1,240,15.5,226,26,44
HE240M,1.53645688875,19958.6,270,18,248,32,53
HE260M,1.69087239965,21964.4,290,18,268,32.5,56.5
HE280M,1.84883791785,24016.4,310,18.5,288,33,57
HE300M,2.3331589414,30307.8,340,21,310,39,66
HE320M,2.4022173707,31204.8,359,21,309,40,67
HE340M,2.43131370125,31582.8,377,21,309,40,67
HE360M,2.4542514556,31880.8,395,21,308,40,67
HE400M,2.5079134444,32577.8,432,21,307,40,67
HE450M,2.58227727135,33543.8,478,21,307,40,67
HE500M,2.6504825221,34429.8,524,21,306,40,67
HE550M,2.72808254355,35437.8,572,21,306,40,67
HE600M,2.79951418215,36365.8,620,21,305,40,67
HE650M,2.8771142036,37373.8,668,21,305,40,67
HE700M,2.94855564885,38301.8,716,21,304,40,67
HE800M,3.11213057085,40426.6,814,21,303,40,70
HE900M,3.2611622309,42362.6,910,21,302,40,70
HE1000M,3.41958866165,44420.6,1008,21,302,40,70
